CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicred-BphEo1On-py3.11/bin/python script/best_performance/question1.py
MEM 0.578125 1713364827.2349
MEM 22.070312 1713364827.3351
MEM 22.703125 1713364827.4353
MEM 22.703125 1713364827.5355
MEM 23.218750 1713364827.6357
MEM 23.476562 1713364827.7359
MEM 23.476562 1713364827.8361
MEM 23.734375 1713364827.9363
MEM 24.250000 1713364828.0365
MEM 24.765625 1713364828.1367
MEM 25.281250 1713364828.2369
MEM 25.796875 1713364828.3371
MEM 26.570312 1713364828.4373
MEM 27.085938 1713364828.5375
MEM 27.601562 1713364828.6377
MEM 28.375000 1713364828.7378
MEM 29.136719 1713364828.8380
MEM 25.582031 1713364828.9382
MEM 25.582031 1713364829.0384
MEM 25.835938 1713364829.1386
MEM 25.835938 1713364829.2388
MEM 25.835938 1713364829.3389
MEM 25.835938 1713364829.4391
MEM 26.093750 1713364829.5393
MEM 26.609375 1713364829.6394
MEM 27.125000 1713364829.7396
MEM 27.640625 1713364829.8398
MEM 28.414062 1713364829.9400
MEM 28.929688 1713364830.0401
MEM 29.445312 1713364830.1403
MEM 30.218750 1713364830.2405
MEM 30.734375 1713364830.3406
MEM 31.250000 1713364830.4408
MEM 31.765625 1713364830.5409
MEM 32.539062 1713364830.6411
MEM 33.054688 1713364830.7413
MEM 33.570312 1713364830.8414
MEM 34.085938 1713364830.9416
MEM 34.859375 1713364831.0417
MEM 35.632812 1713364831.1419
