CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicredi-BphEo1On-py3.11/bin/python script/best_performance/question2.py
MEM 0.542969 1713395896.8411
MEM 21.925781 1713395896.9413
MEM 21.925781 1713395897.0415
MEM 21.925781 1713395897.1417
MEM 22.296875 1713395897.2419
MEM 22.296875 1713395897.3421
MEM 22.296875 1713395897.4423
MEM 22.554688 1713395897.5425
MEM 22.812500 1713395897.6427
MEM 22.812500 1713395897.7428
MEM 23.406250 1713395897.8430
MEM 23.406250 1713395897.9431
MEM 23.660156 1713395898.0433
MEM 23.917969 1713395898.1435
MEM 23.917969 1713395898.2436
MEM 24.433594 1713395898.3438
MEM 24.433594 1713395898.4440
MEM 23.757812 1713395898.5444
MEM 23.757812 1713395898.6446
MEM 23.757812 1713395898.7447
MEM 23.757812 1713395898.8449
MEM 23.757812 1713395898.9450
MEM 23.757812 1713395899.0452
MEM 23.757812 1713395899.1453
MEM 23.757812 1713395899.2454
MEM 23.757812 1713395899.3456
MEM 23.757812 1713395899.4458
MEM 24.011719 1713395899.5460
MEM 24.011719 1713395899.6461
MEM 24.269531 1713395899.7463
MEM 25.042969 1713395899.8464
MEM 25.042969 1713395899.9466
MEM 25.343750 1713395900.0468
MEM 25.597656 1713395900.1470
MEM 25.597656 1713395900.2472
MEM 25.855469 1713395900.3473
MEM 26.113281 1713395900.4475
MEM 26.113281 1713395900.5477
MEM 27.144531 1713395900.6479
MEM 27.144531 1713395900.7481
MEM 27.144531 1713395900.8483
MEM 27.144531 1713395900.9485
MEM 27.144531 1713395901.0487
MEM 27.144531 1713395901.1489
MEM 26.910156 1713395901.2491
MEM 26.617188 1713395901.3492
