CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicred-BphEo1On-py3.11/bin/python script/worst_performance/question1.py
MEM 0.578125 1713367099.2448
MEM 22.011719 1713367099.3450
MEM 22.011719 1713367099.4451
MEM 22.011719 1713367099.5453
MEM 22.011719 1713367099.6454
MEM 22.644531 1713367099.7456
MEM 22.644531 1713367099.8458
MEM 22.644531 1713367099.9461
MEM 22.644531 1713367100.0462
MEM 22.644531 1713367100.1464
MEM 22.644531 1713367100.2466
MEM 22.644531 1713367100.3469
MEM 22.644531 1713367100.4471
MEM 22.644531 1713367100.5473
MEM 22.644531 1713367100.6475
MEM 22.644531 1713367100.7477
MEM 22.644531 1713367100.8479
MEM 22.644531 1713367100.9481
MEM 22.644531 1713367101.0484
MEM 22.644531 1713367101.1486
MEM 22.644531 1713367101.2488
MEM 22.644531 1713367101.3490
MEM 22.644531 1713367101.4492
MEM 22.644531 1713367101.5494
MEM 22.644531 1713367101.6496
MEM 22.644531 1713367101.7498
MEM 22.644531 1713367101.8500
MEM 22.644531 1713367101.9502
MEM 22.644531 1713367102.0504
MEM 22.644531 1713367102.1506
MEM 22.644531 1713367102.2508
MEM 22.644531 1713367102.3510
MEM 22.644531 1713367102.4512
MEM 22.644531 1713367102.5515
MEM 22.644531 1713367102.6517
MEM 22.644531 1713367102.7518
MEM 22.644531 1713367102.8519
MEM 22.644531 1713367102.9522
MEM 22.644531 1713367103.0524
MEM 22.644531 1713367103.1526
MEM 22.644531 1713367103.2528
MEM 22.644531 1713367103.3530
MEM 22.644531 1713367103.4532
MEM 22.644531 1713367103.5535
MEM 22.644531 1713367103.6537
MEM 22.644531 1713367103.7538
MEM 22.644531 1713367103.8540
MEM 22.644531 1713367103.9542
MEM 22.644531 1713367104.0545
MEM 22.644531 1713367104.1547
MEM 22.644531 1713367104.2550
MEM 22.644531 1713367104.3553
MEM 22.644531 1713367104.4555
MEM 22.644531 1713367104.5558
MEM 22.644531 1713367104.6560
MEM 22.644531 1713367104.7562
MEM 22.644531 1713367104.8564
MEM 22.644531 1713367104.9565
MEM 22.644531 1713367105.0567
MEM 22.644531 1713367105.1570
MEM 22.644531 1713367105.2572
MEM 22.644531 1713367105.3573
MEM 22.644531 1713367105.4576
MEM 22.644531 1713367105.5578
MEM 22.644531 1713367105.6580
MEM 22.644531 1713367105.7582
MEM 22.644531 1713367105.8585
MEM 22.644531 1713367105.9587
MEM 22.644531 1713367106.0590
MEM 22.644531 1713367106.1593
MEM 22.644531 1713367106.2595
MEM 22.644531 1713367106.3596
MEM 22.644531 1713367106.4598
MEM 22.644531 1713367106.5600
MEM 22.644531 1713367106.6602
MEM 22.644531 1713367106.7603
MEM 22.644531 1713367106.8605
MEM 22.644531 1713367106.9606
MEM 22.644531 1713367107.0607
MEM 22.644531 1713367107.1609
MEM 22.644531 1713367107.2611
MEM 22.644531 1713367107.3613
MEM 22.644531 1713367107.4615
MEM 22.644531 1713367107.5616
MEM 22.644531 1713367107.6618
MEM 22.644531 1713367107.7620
MEM 22.644531 1713367107.8622
MEM 22.644531 1713367107.9624
MEM 23.160156 1713367108.0626
MEM 23.417969 1713367108.1627
MEM 23.417969 1713367108.2630
MEM 23.417969 1713367108.3632
MEM 23.417969 1713367108.4634
MEM 23.417969 1713367108.5636
MEM 23.417969 1713367108.6637
MEM 23.417969 1713367108.7639
MEM 23.417969 1713367108.8641
MEM 23.417969 1713367108.9643
MEM 23.417969 1713367109.0645
MEM 23.417969 1713367109.1648
MEM 23.417969 1713367109.2650
MEM 23.417969 1713367109.3653
MEM 23.417969 1713367109.4656
MEM 23.417969 1713367109.5659
MEM 23.417969 1713367109.6661
MEM 23.417969 1713367109.7663
MEM 23.417969 1713367109.8666
MEM 23.417969 1713367109.9668
MEM 23.417969 1713367110.0669
MEM 23.417969 1713367110.1671
MEM 23.417969 1713367110.2674
MEM 23.417969 1713367110.3676
MEM 23.417969 1713367110.4678
MEM 23.417969 1713367110.5680
MEM 23.417969 1713367110.6682
MEM 23.417969 1713367110.7684
MEM 23.417969 1713367110.8686
MEM 23.417969 1713367110.9689
MEM 23.417969 1713367111.0690
MEM 23.417969 1713367111.1693
MEM 23.417969 1713367111.2695
MEM 23.417969 1713367111.3697
MEM 23.417969 1713367111.4699
MEM 23.417969 1713367111.5702
MEM 23.417969 1713367111.6704
MEM 23.417969 1713367111.7706
MEM 23.417969 1713367111.8708
MEM 23.417969 1713367111.9711
MEM 23.417969 1713367112.0713
MEM 23.417969 1713367112.1715
MEM 23.417969 1713367112.2718
MEM 23.417969 1713367112.3720
MEM 23.417969 1713367112.4722
MEM 23.417969 1713367112.5723
MEM 23.417969 1713367112.6725
MEM 23.417969 1713367112.7727
MEM 23.417969 1713367112.8728
MEM 23.417969 1713367112.9729
MEM 23.417969 1713367113.0731
MEM 23.417969 1713367113.1733
MEM 23.417969 1713367113.2735
MEM 23.417969 1713367113.3737
MEM 23.417969 1713367113.4740
MEM 23.417969 1713367113.5741
MEM 23.417969 1713367113.6743
MEM 23.417969 1713367113.7745
MEM 23.417969 1713367113.8747
MEM 23.417969 1713367113.9749
MEM 23.417969 1713367114.0751
MEM 23.417969 1713367114.1753
MEM 23.417969 1713367114.2755
MEM 23.417969 1713367114.3757
MEM 23.417969 1713367114.4759
MEM 23.417969 1713367114.5762
MEM 23.417969 1713367114.6764
MEM 23.417969 1713367114.7766
MEM 23.417969 1713367114.8768
MEM 23.417969 1713367114.9770
MEM 23.417969 1713367115.0772
MEM 23.417969 1713367115.1774
MEM 23.417969 1713367115.2775
MEM 23.417969 1713367115.3777
MEM 23.417969 1713367115.4780
MEM 23.417969 1713367115.5782
MEM 23.417969 1713367115.6784
MEM 23.417969 1713367115.7786
MEM 23.417969 1713367115.8788
MEM 23.417969 1713367115.9791
MEM 23.417969 1713367116.0792
MEM 23.417969 1713367116.1794
MEM 23.417969 1713367116.2796
MEM 23.417969 1713367116.3798
MEM 23.417969 1713367116.4800
MEM 23.417969 1713367116.5802
MEM 23.417969 1713367116.6804
MEM 23.417969 1713367116.7806
MEM 23.417969 1713367116.8807
MEM 23.417969 1713367116.9809
MEM 23.417969 1713367117.0810
MEM 23.417969 1713367117.1812
MEM 23.417969 1713367117.2813
MEM 23.417969 1713367117.3814
MEM 23.417969 1713367117.4816
MEM 23.417969 1713367117.5817
MEM 23.417969 1713367117.6819
MEM 23.417969 1713367117.7821
MEM 23.417969 1713367117.8822
MEM 23.417969 1713367117.9824
MEM 23.417969 1713367118.0826
MEM 23.417969 1713367118.1829
MEM 23.417969 1713367118.2830
MEM 23.417969 1713367118.3833
MEM 23.417969 1713367118.4834
MEM 23.417969 1713367118.5836
MEM 23.417969 1713367118.6838
MEM 23.417969 1713367118.7840
MEM 23.417969 1713367118.8842
MEM 23.417969 1713367118.9843
MEM 23.417969 1713367119.0845
MEM 23.417969 1713367119.1847
MEM 23.417969 1713367119.2849
MEM 23.417969 1713367119.3850
MEM 23.417969 1713367119.4851
MEM 23.417969 1713367119.5854
MEM 23.417969 1713367119.6856
MEM 23.417969 1713367119.7859
MEM 23.417969 1713367119.8861
MEM 23.417969 1713367119.9862
MEM 23.417969 1713367120.0864
MEM 23.417969 1713367120.1866
MEM 23.417969 1713367120.2868
MEM 23.417969 1713367120.3870
MEM 23.417969 1713367120.4872
MEM 23.417969 1713367120.5874
MEM 23.417969 1713367120.6876
MEM 23.417969 1713367120.7878
MEM 23.417969 1713367120.8880
MEM 23.417969 1713367120.9883
MEM 23.417969 1713367121.0886
MEM 23.417969 1713367121.1888
MEM 23.417969 1713367121.2890
MEM 23.417969 1713367121.3892
MEM 23.417969 1713367121.4895
MEM 23.417969 1713367121.5896
MEM 23.417969 1713367121.6898
MEM 23.417969 1713367121.7900
MEM 23.417969 1713367121.8902
MEM 23.417969 1713367121.9904
MEM 23.417969 1713367122.0906
MEM 23.417969 1713367122.1908
MEM 23.417969 1713367122.2909
MEM 23.417969 1713367122.3911
MEM 23.417969 1713367122.4913
MEM 23.417969 1713367122.5915
MEM 23.417969 1713367122.6916
MEM 23.417969 1713367122.7918
MEM 23.417969 1713367122.8921
MEM 23.417969 1713367122.9923
MEM 23.417969 1713367123.0925
MEM 23.417969 1713367123.1927
MEM 23.417969 1713367123.2929
MEM 23.417969 1713367123.3931
MEM 23.417969 1713367123.4933
MEM 23.417969 1713367123.5934
MEM 23.417969 1713367123.6936
MEM 23.417969 1713367123.7937
MEM 23.417969 1713367123.8939
MEM 23.417969 1713367123.9941
MEM 23.417969 1713367124.0943
MEM 23.417969 1713367124.1945
MEM 23.417969 1713367124.2946
MEM 23.417969 1713367124.3948
MEM 23.417969 1713367124.4950
MEM 23.417969 1713367124.5952
MEM 23.417969 1713367124.6954
MEM 23.417969 1713367124.7956
MEM 23.417969 1713367124.8958
MEM 23.417969 1713367124.9961
MEM 23.417969 1713367125.0963
MEM 23.417969 1713367125.1965
MEM 23.417969 1713367125.2967
MEM 23.417969 1713367125.3969
MEM 23.417969 1713367125.4970
MEM 23.417969 1713367125.5972
MEM 23.417969 1713367125.6974
MEM 23.417969 1713367125.7975
MEM 23.417969 1713367125.8978
MEM 23.417969 1713367125.9980
MEM 23.417969 1713367126.0982
MEM 23.417969 1713367126.1984
MEM 23.417969 1713367126.2986
MEM 23.417969 1713367126.3988
MEM 23.417969 1713367126.4990
MEM 23.417969 1713367126.5992
MEM 23.417969 1713367126.6994
MEM 23.417969 1713367126.7996
MEM 23.417969 1713367126.8997
MEM 23.417969 1713367126.9999
MEM 23.417969 1713367127.1002
MEM 23.417969 1713367127.2004
MEM 23.417969 1713367127.3006
MEM 23.417969 1713367127.4007
MEM 23.417969 1713367127.5008
MEM 23.417969 1713367127.6010
MEM 23.417969 1713367127.7012
MEM 23.417969 1713367127.8014
MEM 23.417969 1713367127.9016
MEM 23.417969 1713367128.0017
MEM 23.417969 1713367128.1019
MEM 23.417969 1713367128.2021
MEM 23.417969 1713367128.3023
MEM 23.417969 1713367128.4026
MEM 23.417969 1713367128.5027
MEM 23.417969 1713367128.6029
MEM 23.417969 1713367128.7031
MEM 23.417969 1713367128.8032
MEM 23.417969 1713367128.9034
MEM 23.417969 1713367129.0035
MEM 23.417969 1713367129.1037
MEM 23.417969 1713367129.2039
MEM 23.417969 1713367129.3041
MEM 23.417969 1713367129.4042
MEM 23.417969 1713367129.5044
MEM 23.417969 1713367129.6046
MEM 23.417969 1713367129.7048
MEM 23.417969 1713367129.8050
MEM 23.417969 1713367129.9053
MEM 23.417969 1713367130.0054
MEM 23.417969 1713367130.1056
MEM 23.417969 1713367130.2059
MEM 23.417969 1713367130.3061
MEM 23.417969 1713367130.4063
MEM 23.417969 1713367130.5064
MEM 23.417969 1713367130.6066
MEM 23.417969 1713367130.7068
MEM 23.417969 1713367130.8069
MEM 23.417969 1713367130.9071
MEM 23.417969 1713367131.0073
MEM 23.417969 1713367131.1075
MEM 23.417969 1713367131.2077
MEM 23.417969 1713367131.3079
MEM 23.417969 1713367131.4082
MEM 23.417969 1713367131.5084
MEM 23.417969 1713367131.6086
MEM 23.417969 1713367131.7088
MEM 23.417969 1713367131.8090
MEM 23.417969 1713367131.9091
MEM 23.417969 1713367132.0093
MEM 23.417969 1713367132.1095
MEM 23.417969 1713367132.2097
MEM 23.417969 1713367132.3099
MEM 23.417969 1713367132.4101
MEM 23.417969 1713367132.5103
MEM 23.417969 1713367132.6104
MEM 23.417969 1713367132.7106
MEM 23.417969 1713367132.8108
MEM 23.417969 1713367132.9110
MEM 23.417969 1713367133.0112
MEM 23.417969 1713367133.1113
MEM 23.417969 1713367133.2116
MEM 23.417969 1713367133.3118
MEM 23.417969 1713367133.4120
MEM 23.417969 1713367133.5122
MEM 23.417969 1713367133.6124
MEM 23.417969 1713367133.7126
MEM 23.417969 1713367133.8128
MEM 23.417969 1713367133.9129
MEM 23.417969 1713367134.0131
MEM 23.417969 1713367134.1132
MEM 23.417969 1713367134.2134
MEM 23.417969 1713367134.3135
MEM 23.417969 1713367134.4137
MEM 23.417969 1713367134.5139
MEM 23.417969 1713367134.6141
MEM 23.417969 1713367134.7142
MEM 23.417969 1713367134.8144
MEM 23.417969 1713367134.9145
MEM 23.417969 1713367135.0146
MEM 23.417969 1713367135.1148
MEM 23.417969 1713367135.2150
MEM 23.417969 1713367135.3151
MEM 23.417969 1713367135.4153
MEM 23.417969 1713367135.5155
MEM 23.417969 1713367135.6156
MEM 23.417969 1713367135.7158
MEM 23.417969 1713367135.8159
MEM 23.417969 1713367135.9161
MEM 23.417969 1713367136.0162
MEM 23.417969 1713367136.1164
MEM 23.417969 1713367136.2166
MEM 23.417969 1713367136.3168
MEM 23.417969 1713367136.4170
MEM 23.417969 1713367136.5172
MEM 23.417969 1713367136.6173
MEM 23.417969 1713367136.7175
MEM 23.417969 1713367136.8177
MEM 23.417969 1713367136.9178
MEM 23.417969 1713367137.0180
MEM 23.417969 1713367137.1181
MEM 23.417969 1713367137.2183
MEM 23.417969 1713367137.3184
MEM 23.417969 1713367137.4185
MEM 23.417969 1713367137.5188
MEM 23.417969 1713367137.6190
MEM 23.417969 1713367137.7192
MEM 23.417969 1713367137.8193
MEM 23.417969 1713367137.9195
MEM 23.417969 1713367138.0196
MEM 23.417969 1713367138.1197
MEM 23.417969 1713367138.2199
MEM 23.417969 1713367138.3200
MEM 23.417969 1713367138.4202
MEM 23.417969 1713367138.5204
MEM 23.417969 1713367138.6206
MEM 23.417969 1713367138.7208
MEM 23.417969 1713367138.8209
MEM 23.417969 1713367138.9210
MEM 23.417969 1713367139.0212
MEM 23.417969 1713367139.1213
MEM 23.417969 1713367139.2214
MEM 23.417969 1713367139.3215
MEM 23.417969 1713367139.4217
MEM 23.417969 1713367139.5218
MEM 23.417969 1713367139.6220
MEM 23.417969 1713367139.7223
MEM 23.417969 1713367139.8224
MEM 23.417969 1713367139.9225
MEM 23.417969 1713367140.0227
MEM 23.417969 1713367140.1229
MEM 23.417969 1713367140.2231
MEM 23.417969 1713367140.3232
MEM 23.417969 1713367140.4234
MEM 23.417969 1713367140.5235
MEM 23.417969 1713367140.6237
MEM 23.675781 1713367140.7239
MEM 24.191406 1713367140.8240
MEM 24.964844 1713367140.9242
MEM 25.480469 1713367141.0244
MEM 25.996094 1713367141.1245
MEM 26.769531 1713367141.2247
MEM 27.285156 1713367141.3249
MEM 27.800781 1713367141.4251
MEM 28.316406 1713367141.5253
MEM 28.574219 1713367141.6254
MEM 28.574219 1713367141.7257
MEM 28.574219 1713367141.8259
MEM 28.574219 1713367141.9261
MEM 28.574219 1713367142.0263
MEM 28.574219 1713367142.1264
MEM 28.574219 1713367142.2266
MEM 28.574219 1713367142.3268
MEM 28.574219 1713367142.4270
MEM 28.574219 1713367142.5272
MEM 28.574219 1713367142.6274
MEM 28.574219 1713367142.7275
MEM 28.574219 1713367142.8278
MEM 28.574219 1713367142.9279
MEM 28.574219 1713367143.0280
MEM 28.574219 1713367143.1282
MEM 28.574219 1713367143.2284
MEM 28.574219 1713367143.3286
MEM 28.574219 1713367143.4287
MEM 28.574219 1713367143.5289
MEM 28.574219 1713367143.6290
MEM 28.574219 1713367143.7292
MEM 28.574219 1713367143.8294
MEM 28.574219 1713367143.9297
MEM 28.574219 1713367144.0298
MEM 28.574219 1713367144.1300
MEM 28.574219 1713367144.2302
MEM 28.574219 1713367144.3303
MEM 28.574219 1713367144.4305
MEM 28.574219 1713367144.5306
MEM 28.574219 1713367144.6308
MEM 28.574219 1713367144.7310
MEM 28.574219 1713367144.8312
MEM 28.574219 1713367144.9314
MEM 28.574219 1713367145.0316
MEM 28.574219 1713367145.1317
MEM 28.574219 1713367145.2320
MEM 28.574219 1713367145.3322
MEM 28.574219 1713367145.4325
MEM 28.574219 1713367145.5327
MEM 28.574219 1713367145.6328
MEM 28.574219 1713367145.7330
MEM 28.574219 1713367145.8333
MEM 28.574219 1713367145.9335
MEM 28.574219 1713367146.0337
MEM 28.574219 1713367146.1339
MEM 28.574219 1713367146.2341
MEM 28.574219 1713367146.3344
MEM 28.574219 1713367146.4346
MEM 28.574219 1713367146.5348
MEM 28.574219 1713367146.6351
MEM 28.574219 1713367146.7353
MEM 28.574219 1713367146.8354
MEM 28.574219 1713367146.9357
MEM 28.574219 1713367147.0359
MEM 28.574219 1713367147.1361
MEM 28.574219 1713367147.2362
MEM 28.574219 1713367147.3364
MEM 28.574219 1713367147.4366
MEM 28.574219 1713367147.5368
MEM 28.574219 1713367147.6369
MEM 28.574219 1713367147.7371
MEM 28.574219 1713367147.8373
MEM 28.574219 1713367147.9374
MEM 28.574219 1713367148.0377
MEM 28.574219 1713367148.1379
MEM 28.574219 1713367148.2381
MEM 28.574219 1713367148.3383
MEM 28.574219 1713367148.4385
MEM 28.574219 1713367148.5386
MEM 28.574219 1713367148.6388
MEM 28.574219 1713367148.7390
MEM 28.574219 1713367148.8391
MEM 28.574219 1713367148.9393
MEM 28.574219 1713367149.0395
MEM 28.574219 1713367149.1397
MEM 28.574219 1713367149.2399
MEM 28.574219 1713367149.3401
MEM 28.574219 1713367149.4402
MEM 28.574219 1713367149.5404
MEM 28.574219 1713367149.6405
MEM 28.574219 1713367149.7407
MEM 28.574219 1713367149.8408
MEM 28.574219 1713367149.9410
MEM 28.574219 1713367150.0411
MEM 28.574219 1713367150.1414
MEM 28.574219 1713367150.2416
MEM 28.574219 1713367150.3418
MEM 28.574219 1713367150.4420
MEM 28.574219 1713367150.5422
MEM 28.574219 1713367150.6424
MEM 28.574219 1713367150.7426
MEM 28.574219 1713367150.8427
MEM 28.574219 1713367150.9429
MEM 28.574219 1713367151.0431
MEM 28.574219 1713367151.1433
MEM 28.574219 1713367151.2436
MEM 28.574219 1713367151.3437
MEM 28.574219 1713367151.4439
MEM 28.574219 1713367151.5441
MEM 28.574219 1713367151.6443
MEM 28.574219 1713367151.7445
MEM 28.574219 1713367151.8447
MEM 28.574219 1713367151.9449
MEM 28.574219 1713367152.0451
MEM 28.574219 1713367152.1452
