CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicredi-BphEo1On-py3.11/bin/python script/worst_performance/question2.py
MEM 0.570312 1713396009.4831
MEM 21.914062 1713396009.5834
MEM 21.914062 1713396009.6836
MEM 21.914062 1713396009.7838
MEM 21.914062 1713396009.8839
MEM 21.914062 1713396009.9841
MEM 21.914062 1713396010.0843
MEM 21.914062 1713396010.1846
MEM 21.914062 1713396010.2848
MEM 21.914062 1713396010.3850
MEM 21.914062 1713396010.4852
MEM 21.914062 1713396010.5854
MEM 21.914062 1713396010.6856
MEM 21.914062 1713396010.7857
MEM 21.914062 1713396010.8859
MEM 21.914062 1713396010.9860
MEM 21.914062 1713396011.0861
MEM 21.914062 1713396011.1863
MEM 21.914062 1713396011.2864
MEM 21.914062 1713396011.3865
MEM 21.914062 1713396011.4867
MEM 21.914062 1713396011.5870
MEM 21.914062 1713396011.6871
MEM 21.914062 1713396011.7873
MEM 21.914062 1713396011.8874
MEM 21.914062 1713396011.9875
MEM 21.914062 1713396012.0877
MEM 21.914062 1713396012.1879
MEM 21.914062 1713396012.2880
MEM 21.914062 1713396012.3881
MEM 21.914062 1713396012.4883
MEM 21.914062 1713396012.5885
MEM 21.914062 1713396012.6886
MEM 21.914062 1713396012.7888
MEM 21.914062 1713396012.8889
MEM 21.914062 1713396012.9891
MEM 21.914062 1713396013.0892
MEM 21.914062 1713396013.1894
MEM 21.914062 1713396013.2895
MEM 21.914062 1713396013.3897
MEM 21.914062 1713396013.4898
MEM 21.914062 1713396013.5900
MEM 21.914062 1713396013.6902
MEM 21.914062 1713396013.7904
MEM 21.914062 1713396013.8905
MEM 21.914062 1713396013.9906
MEM 21.914062 1713396014.0908
MEM 21.914062 1713396014.1910
MEM 21.914062 1713396014.2912
MEM 21.914062 1713396014.3913
MEM 21.914062 1713396014.4914
MEM 21.914062 1713396014.5917
MEM 21.914062 1713396014.6919
MEM 21.914062 1713396014.7921
MEM 21.914062 1713396014.8922
MEM 21.914062 1713396014.9923
MEM 21.914062 1713396015.0925
MEM 21.914062 1713396015.1926
MEM 21.914062 1713396015.2928
MEM 21.914062 1713396015.3929
MEM 21.914062 1713396015.4930
MEM 21.914062 1713396015.5932
MEM 21.914062 1713396015.6933
MEM 21.914062 1713396015.7935
MEM 21.914062 1713396015.8937
MEM 21.914062 1713396015.9939
MEM 21.914062 1713396016.0940
MEM 21.914062 1713396016.1942
MEM 21.914062 1713396016.2943
MEM 21.914062 1713396016.3944
MEM 21.914062 1713396016.4946
MEM 21.914062 1713396016.5947
MEM 21.914062 1713396016.6949
MEM 21.914062 1713396016.7951
MEM 21.914062 1713396016.8952
MEM 21.914062 1713396016.9954
MEM 21.914062 1713396017.0955
MEM 21.914062 1713396017.1957
MEM 21.914062 1713396017.2958
MEM 21.914062 1713396017.3960
MEM 21.914062 1713396017.4961
MEM 21.914062 1713396017.5963
MEM 21.914062 1713396017.6964
MEM 21.914062 1713396017.7966
MEM 22.285156 1713396017.8968
MEM 22.285156 1713396017.9969
MEM 22.285156 1713396018.0971
MEM 22.285156 1713396018.1973
MEM 22.285156 1713396018.2974
MEM 22.285156 1713396018.3975
MEM 22.285156 1713396018.4977
MEM 22.285156 1713396018.5978
MEM 22.285156 1713396018.6980
MEM 22.285156 1713396018.7982
MEM 22.285156 1713396018.8984
MEM 22.285156 1713396018.9985
MEM 22.285156 1713396019.0987
MEM 22.285156 1713396019.1988
MEM 22.285156 1713396019.2989
MEM 22.285156 1713396019.3991
MEM 22.285156 1713396019.4992
MEM 22.285156 1713396019.5993
MEM 22.285156 1713396019.6995
MEM 22.285156 1713396019.7997
MEM 22.285156 1713396019.8999
MEM 22.285156 1713396020.0001
MEM 22.285156 1713396020.1003
MEM 22.285156 1713396020.2004
MEM 22.285156 1713396020.3006
MEM 22.285156 1713396020.4008
MEM 22.285156 1713396020.5009
MEM 22.285156 1713396020.6010
MEM 22.285156 1713396020.7012
MEM 22.285156 1713396020.8014
MEM 22.285156 1713396020.9015
MEM 22.285156 1713396021.0017
MEM 22.285156 1713396021.1018
MEM 22.285156 1713396021.2020
MEM 22.285156 1713396021.3021
MEM 22.285156 1713396021.4022
MEM 22.285156 1713396021.5024
MEM 22.285156 1713396021.6025
MEM 22.285156 1713396021.7026
MEM 22.285156 1713396021.8027
MEM 22.285156 1713396021.9029
MEM 22.285156 1713396022.0031
MEM 22.285156 1713396022.1033
MEM 22.285156 1713396022.2035
MEM 22.285156 1713396022.3036
MEM 22.285156 1713396022.4037
MEM 22.285156 1713396022.5039
MEM 22.285156 1713396022.6040
MEM 22.285156 1713396022.7042
MEM 22.285156 1713396022.8044
MEM 22.285156 1713396022.9045
MEM 22.285156 1713396023.0046
MEM 22.285156 1713396023.1048
MEM 22.285156 1713396023.2050
MEM 22.285156 1713396023.3051
MEM 22.285156 1713396023.4053
MEM 22.285156 1713396023.5054
MEM 22.285156 1713396023.6055
MEM 22.285156 1713396023.7057
MEM 22.285156 1713396023.8059
MEM 22.285156 1713396023.9060
MEM 22.285156 1713396024.0062
MEM 22.285156 1713396024.1064
MEM 22.285156 1713396024.2066
MEM 22.285156 1713396024.3068
MEM 22.285156 1713396024.4069
MEM 22.285156 1713396024.5070
MEM 22.285156 1713396024.6072
MEM 22.285156 1713396024.7073
MEM 22.285156 1713396024.8075
MEM 22.285156 1713396024.9077
MEM 22.285156 1713396025.0079
MEM 22.285156 1713396025.1080
MEM 22.285156 1713396025.2082
MEM 22.285156 1713396025.3083
MEM 22.285156 1713396025.4084
